dataset	n	p	true_k	sigma	method	K	n_iter	CRI	WCRI	TWCRI	ARI_mean	ARI_std	AMI_mean	AMI_std	empty_clusters	K_star_TWCRI
circles_2d	300	2	2		agglomerative_ward	5	200	0.6872	0.1392	0.6961	0.4710	0.1060	0.5893	0.0753		2
circles_2d	300	2	2		agglomerative_ward	6	200	0.6466	0.1089	0.6533	0.4420	0.0960	0.5712	0.0712		2
circles_2d	300	2	2		agglomerative_single	2	200	0.6309	0.3211	0.6422	0.0344	0.0643	0.0651	0.0798		
circles_2d	300	2	2		agglomerative_single	3	200	0.5247	0.1864	0.5591	0.0727	0.0996	0.1340	0.1146		
circles_2d	300	2	2		agglomerative_single	4	200	0.5314	0.1529	0.6116	0.1250	0.1128	0.2250	0.1207		
circles_2d	300	2	2		agglomerative_single	5	200	0.5354	0.1280	0.6398	0.1702	0.0999	0.3029	0.1084		
circles_2d	300	2	2		agglomerative_single	6	200	0.5611	0.1140	0.6841	0.2067	0.0994	0.3530	0.1013		
circles_2d	300	2	2		hdbscan*	modal=4	200				0.1902	0.0760	0.2726	0.0908		modal_k=4, agree=0.39
gauss4c_sigma0p01	400	50	4	0.01	kmeans	2	200	0.9988	0.4994	0.9988	0.9922	0.0778	0.9933	0.0672		4
gauss4c_sigma0p01	400	50	4	0.01	kmeans	3	200	0.7383	0.2438	0.7313	0.5948	0.2343	0.7419	0.1484		4
gauss4c_sigma0p01	400	50	4	0.01	kmeans	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p01	400	50	4	0.01	kmeans	5	200	NaN	NaN	NaN	0.8629	0.0501	0.8988	0.0216	Y	4
gauss4c_sigma0p01	400	50	4	0.01	kmeans	6	200	NaN	NaN	NaN	0.7437	0.0747	0.8172	0.0278	Y	4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_ward	2	200	0.9584	0.4792	0.9584	0.8530	0.2663	0.8649	0.2420		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_ward	3	200	0.7966	0.2576	0.7728	0.4690	0.0602	0.6620	0.0365		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_ward	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_ward	5	200	NaN	NaN	NaN	0.8381	0.0480	0.8899	0.0161	Y	4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_ward	6	200	NaN	NaN	NaN	0.7093	0.0638	0.8056	0.0213	Y	4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_single	2	200	0.7902	0.3964	0.7929	0.4435	0.3808	0.5149	0.3216		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_single	3	200	0.8852	0.2776	0.8329	0.5546	0.2152	0.7167	0.1353		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_single	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_single	5	200	0.8691	0.1822	0.9112	0.9844	0.0031	0.9814	0.0009		4
gauss4c_sigma0p01	400	50	4	0.01	agglomerative_single	6	200	0.8369	0.1494	0.8962	0.9684	0.0048	0.9630	0.0015		4
gauss4c_sigma0p01	400	50	4	0.01	hdbscan*	modal=4	200				0.9485	0.0990	0.9677	0.0649		modal_k=4, agree=0.78
gauss4c_sigma0p1	400	50	4	0.1	kmeans	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p1	400	50	4	0.1	kmeans	3	200	0.7337	0.2438	0.7313	0.6006	0.2432	0.7457	0.1544		4
gauss4c_sigma0p1	400	50	4	0.1	kmeans	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p1	400	50	4	0.1	kmeans	5	200	NaN	NaN	NaN	0.8543	0.0508	0.8955	0.0219	Y	4
gauss4c_sigma0p1	400	50	4	0.1	kmeans	6	200	NaN	NaN	NaN	0.7376	0.0715	0.8122	0.0284	Y	4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_ward	2	200	0.9498	0.4749	0.9498	0.7886	0.2779	0.7966	0.2523		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_ward	3	200	0.8715	0.2737	0.8211	0.4663	0.0469	0.6603	0.0275		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_ward	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_ward	5	200	0.8196	0.1791	0.8957	0.8636	0.0501	0.8935	0.0187		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_ward	6	200	0.6973	0.1296	0.7773	0.7374	0.0660	0.8076	0.0246		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_single	2	200	0.8329	0.4057	0.8114	0.4249	0.3167	0.4728	0.2345		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_single	3	200	0.9135	0.2936	0.8807	0.6253	0.2567	0.7617	0.1619		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_single	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_single	5	200	NaN	NaN	NaN	0.9843	0.0031	0.9814	0.0012	Y	4
gauss4c_sigma0p1	400	50	4	0.1	agglomerative_single	6	200	0.7898	0.1523	0.9138	0.9681	0.0054	0.9627	0.0027		4
gauss4c_sigma0p1	400	50	4	0.1	hdbscan*	modal=4	200				0.9483	0.0997	0.9681	0.0628		modal_k=4, agree=0.78
gauss4c_sigma10p0	400	50	4	10.0	kmeans	2	200	0.8983	0.4492	0.8983	0.0693	0.0962	0.0596	0.0786		2
gauss4c_sigma10p0	400	50	4	10.0	kmeans	3	200	0.6000	0.2100	0.6299	0.0533	0.0569	0.0559	0.0557		2
gauss4c_sigma10p0	400	50	4	10.0	kmeans	4	200	0.4825	0.1235	0.4938	0.0488	0.0465	0.0607	0.0505		2
gauss4c_sigma10p0	400	50	4	10.0	kmeans	5	200	0.4055	0.0837	0.4185	0.0440	0.0396	0.0618	0.0472		2
gauss4c_sigma10p0	400	50	4	10.0	kmeans	6	200	0.3361	0.0572	0.3430	0.0358	0.0325	0.0540	0.0467		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_ward	2	200	0.6588	0.3293	0.6587	0.0758	0.0978	0.0718	0.0803		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_ward	3	200	0.4815	0.1665	0.4994	0.0630	0.0622	0.0692	0.0558		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_ward	4	200	0.4273	0.1078	0.4311	0.0600	0.0498	0.0753	0.0518		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_ward	5	200	0.3892	0.0793	0.3963	0.0582	0.0424	0.0835	0.0515		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_ward	6	200	0.3592	0.0604	0.3621	0.0559	0.0366	0.0880	0.0492		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_single	2	200	0.8257	0.4947	0.9895	0.0000	0.0000	0.0000	0.0000		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_single	3	200	0.8202	0.3257	0.9770	0.0000	0.0000	0.0000	0.0000		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_single	4	200	0.7371	0.2425	0.9700	0.0000	0.0000	0.0000	0.0000		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_single	5	200	0.6993	0.1910	0.9551	0.0000	0.0000	0.0000	0.0000		2
gauss4c_sigma10p0	400	50	4	10.0	agglomerative_single	6	200	0.6714	0.1565	0.9392	0.0014	0.0221	0.0014	0.0225		2
gauss4c_sigma10p0	400	50	4	10.0	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gauss4c_sigma1p0	400	50	4	1.0	kmeans	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		4
gauss4c_sigma1p0	400	50	4	1.0	kmeans	3	200	0.7242	0.2375	0.7124	0.6161	0.2250	0.7279	0.1518		4
gauss4c_sigma1p0	400	50	4	1.0	kmeans	4	200	0.9571	0.2393	0.9571	0.9219	0.1479	0.9500	0.0955		4
gauss4c_sigma1p0	400	50	4	1.0	kmeans	5	200	NaN	NaN	NaN	0.8578	0.0708	0.8968	0.0358	Y	4
gauss4c_sigma1p0	400	50	4	1.0	kmeans	6	200	NaN	NaN	NaN	0.7372	0.0693	0.8146	0.0285	Y	4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_ward	2	200	0.9492	0.4746	0.9492	0.7136	0.2877	0.7287	0.2652		4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_ward	3	200	0.8309	0.2691	0.8072	0.5263	0.1680	0.6926	0.1063		4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_ward	4	200	0.9999	0.2500	0.9999	0.9998	0.0023	0.9998	0.0027		4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_ward	5	200	0.7923	0.1684	0.8418	0.8481	0.0490	0.8906	0.0168		4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_ward	6	200	0.6772	0.1201	0.7207	0.7144	0.0637	0.8022	0.0186		4
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_single	2	200	0.6518	0.3560	0.7121	0.2888	0.3643	0.3819	0.2883		6
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_single	3	200	0.7241	0.2419	0.7256	0.4324	0.2290	0.5443	0.1841		6
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_single	4	200	0.6525	0.1718	0.6872	0.5091	0.1954	0.6298	0.1621		6
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_single	5	200	0.5779	0.1213	0.6065	0.5344	0.1648	0.6539	0.1466		6
gauss4c_sigma1p0	400	50	4	1.0	agglomerative_single	6	200	0.5800	0.1062	0.6373	0.5322	0.1417	0.6507	0.1227		6
gauss4c_sigma1p0	400	50	4	1.0	hdbscan*	modal=2	200				0.4658	0.1687	0.5638	0.1245		modal_k=2, agree=0.77
